"","Age","Ethnicity"
"662",20,"Chinese"
"663",36,"Korean"
"664",30,"Chinese"
"665",67,"Asian Indian"
"666",42,"Chinese"
"667",24,"Chinese"
"668",23,"Asian Indian"
"669",80,"Asian Indian"
"670",70,"Vietnamese"
"671",19,"Asian Indian"
"672",80,"Chinese"
"673",18,"Chinese"
"674",43,"Vietnamese"
"675",65,"Asian Indian"
"676",71,"Asian Indian"
"677",24,"Vietnamese"
"678",27,"Korean"
"679",36,"Korean"
"680",44,"Korean"
"681",52,"Vietnamese"
"682",67,"Asian Indian"
"683",40,"Korean"
"684",29,"Vietnamese"
"685",30,"Asian Indian"
"686",29,"Korean"
"687",50,"Chinese"
"688",27,"Asian Indian"
"689",55,"Korean"
"690",40,"Chinese"
"691",60,"Korean"
"692",48,"Korean"
"693",40,"Asian Indian"
"694",21,"Filipino"
"695",38,"Asian Indian"
"696",40,"Vietnamese"
"697",42,"Chinese"
"698",35,"Asian Indian"
"699",19,"Chinese"
"700",64,"Chinese"
"701",32,"Asian Indian"
"702",19,"Vietnamese"
"703",45,"Korean"
"704",26,"Chinese"
"705",25,"Asian Indian"
"706",22,"Korean"
"707",25,"Asian Indian"
"708",43,"Korean"
"709",60,"Vietnamese"
"710",63,"Chinese"
"711",31,"Korean"
"712",30,"Vietnamese"
"713",32,"Asian Indian"
"714",72,"Chinese"
"715",70,"Vietnamese"
"716",50,"Vietnamese"
"717",33,"Filipino"
"718",35,"Asian Indian"
"719",30,"Korean"
"720",42,"Filipino"
"721",27,"Vietnamese"
"722",49,"Vietnamese"
"723",71,"Asian Indian"
"724",41,"Filipino"
"725",69,"Filipino"
"726",46,"Asian Indian"
"727",82,"Chinese"
"728",24,"Chinese"
"729",78,"Chinese"
"730",36,"Chinese"
"731",48,"Korean"
"732",32,"Chinese"
"733",29,"Vietnamese"
"734",33,"Asian Indian"
"735",50,"Vietnamese"
"736",37,"Asian Indian"
"737",21,"Filipino"
"738",18,"Filipino"
"739",27,"Korean"
"740",76,"Asian Indian"
"741",37,"Chinese"
"742",40,"Chinese"
"743",18,"Chinese"
"744",52,"Vietnamese"
"745",78,"Chinese"
"746",18,"Filipino"
"747",65,"Filipino"
"748",19,"Vietnamese"
"749",53,"Filipino"
"750",68,"Asian Indian"
"751",64,"Asian Indian"
"752",46,"Vietnamese"
"753",75,"Asian Indian"
"754",22,"Vietnamese"
"755",27,"Asian Indian"
"756",28,"Chinese"
"757",28,"Filipino"
"758",40,"Korean"
"759",74,"Chinese"
"760",21,"Filipino"
"761",77,"Asian Indian"
"762",31,"Vietnamese"
"763",27,"Asian Indian"
"764",19,"Filipino"
"765",38,"Korean"
"766",59,"Vietnamese"
"767",36,"Korean"
"768",19,"Vietnamese"
"769",66,"Vietnamese"
"770",66,"Korean"
"771",65,"Filipino"
"772",62,"Chinese"
"773",38,"Korean"
"774",20,"Chinese"
